,cycle,max_distemp,max_chtemp,capacity,dis_time,chr_time,Discharge_voltage,Discharge_current,Discharge_min_Threshold_voltage_time,Charging_max_Threshold_voltage_time,Discharge_min_Threshold_voltage_temp,Charging_max_Threshold_voltage_temp,SOH,RUL
40,41,13.880179808466218,12.908314636128306,1.223890910501634,4670.61,10806.938,2.5,1,4670.61,695.859,13.30736730325027,4.660484183309265,0.7081721601878415,32
41,42,14.631961684725407,14.096794455486355,1.205423323571373,4635.0,10805.984,2.5,1,4635.0,681.172,14.631961684725407,4.707908098180845,0.6974863786221467,31
42,43,14.768164211079867,14.27836592296483,1.1957824090008151,4615.86,10804.937,2.5,1,4615.86,638.875,14.768164211079867,4.560785272520637,0.6919079179611226,30
43,44,15.037938036453403,8.827049914593319,1.1900729496698461,4580.75,10804.922,2.5,1,4580.75,642.75,15.037938036453403,4.757790710484005,0.6886042900697611,29
44,45,14.290141125898849,13.744651377939665,1.179201763233652,4557.406,10808.079,2.5,1,4557.406,381.828,14.290141125898849,4.709571814582134,0.682313965077341,28
45,46,13.996450231420782,13.521354405833215,1.169504032514554,4524.0320000000065,10808.421,2.5,1,4524.0320000000065,635.688,13.996450231420782,4.5953203939557925,0.6767026292521171,27
46,47,14.935082428364883,13.118371272464127,1.16772376849918,4502.938,10809.953,2.5,1,4502.938,652.359,14.56807575000286,4.514401685113143,0.6756725264850695,26
47,48,14.99164974108056,14.502549026623463,1.1579256145829042,4483.094,10803.234,2.5,1,4483.094,592.922,14.99164974108056,4.681428566670647,0.6700030834283367,25
48,49,14.811846373564524,8.533783890055396,1.1499812813376982,4448.36,10806.329,2.5,1,4448.36,550.281,14.811846373564524,4.631175502740125,0.6654063047553063,24
49,50,14.247555903096723,13.067735171405046,1.150285902223034,4440.531,10804.89,2.5,1,4440.531,306.172,13.294005964773273,4.520339635339075,0.665582565587506,23
50,51,14.332240013732582,13.847530682607912,1.1349452274085248,4416.547,10807.342999999993,2.5,1,4416.547,544.875,14.332240013732582,4.732767500531252,0.6567060891557319,22
51,52,14.276871638701772,12.922766299354484,1.1380960963513609,4382.937,10809.625,2.5,1,4382.937,562.2339999999967,13.431280785656808,4.5142221752252665,0.6585292562750975,21
52,53,13.777310967702926,13.42198851253176,1.123711172150547,4347.453,10804.875,2.5,1,4347.453,524.625,13.777310967702926,4.66148785674023,0.6502057997006441,20
54,55,14.96165525093106,8.86703786132924,1.214119211354098,4746.5,10810.016,2.5,1,4746.5,518.625,14.96165525093106,4.427746715379604,0.7025180244845376,18
55,56,14.622124863653873,12.873064470501333,1.211944797522819,4679.156,10803.282000000007,2.5,1,4679.156,169.64,13.842244872819583,4.558615899497711,0.7012598573335063,17
56,57,14.181162993443126,12.914378640441889,1.1971248679331923,4596.578,10808.906,2.5,1,4596.578,564.672,13.152204252689176,4.465210290564171,0.6926846963765414,16
57,58,13.989284902759552,13.560435846040848,1.1822892151870987,4544.641,10809.375,2.5,1,4544.641,659.875,13.989284902759552,4.626007196785033,0.6841004376302356,15
58,59,15.042601535042603,14.50936386335481,1.1645336676778397,4526.938,10803.938,2.5,1,4526.938,612.625,15.042601535042603,4.773791774695575,0.6738266588750719,14
59,60,15.027421071078606,9.058792390700829,1.1535559567518647,4487.438,10802.313,2.5,1,4487.438,638.656,15.027421071078606,5.169240219958803,0.6674746962992741,13
60,61,14.577396723095212,8.906166673111327,1.1601987101282065,4513.312,10807.516,2.5,1,4513.312,599.782,14.319655006393601,5.1343137902161065,0.6713183501476314,12
61,62,15.36587842843583,13.696298017692879,1.1711716308206082,4568.438,10804.64,2.5,1,4568.438,327.547,15.113043487877277,5.388204899123851,0.6776675409812515,11
62,63,15.29268403662172,13.627671981515773,1.1563410270783216,4499.656,10807.093999999997,2.5,1,4499.656,378.656,15.24793876319272,5.208113446773054,0.6690862037076866,10
63,64,14.698902260428524,14.175755722127473,1.141082456193516,4430.984,10803.235,2.5,1,4430.984,614.218,14.698902260428524,5.293850024230726,0.660257234546993,9
64,65,15.066788669768552,14.561398475035936,1.1352383596118123,4411.141,10805.453,2.5,1,4411.141,576.188,15.066788669768552,5.2590442072092936,0.6568757023654074,8
66,67,14.884443210062466,9.03319178162539,1.2530847858282803,4883.312,10806.641,2.5,1,4883.312,536.844,14.359372503117891,5.169473416409175,0.7250644253210565,6
67,68,14.454392118638458,13.574846790146097,1.2050453590356518,4663.907,10807.969,2.5,1,4663.907,548.765,13.853422126038096,5.203391213702639,0.6972676794231909,5
68,69,14.172939173239188,13.649783872807921,1.19119860196273,4581.328,10809.593999999997,2.5,1,4581.328,95.172,14.172939173239188,5.110312534175213,0.6892556190477215,4
69,70,14.797843662102167,13.486366811933427,1.17463817374538,4553.031,10804.109,2.5,1,4553.031,478.156,14.314750757374375,5.201256549424905,0.6796733645153222,3
70,71,14.86814851282613,14.316772010775503,1.1555432048235512,4486.5,10810.344,2.5,1,4486.5,677.735,14.86814851282613,5.131966540794318,0.6686245649253746,2
71,72,14.051631055988958,8.961521656486461,1.1538041170229467,4450.625,10808.891,2.5,1,4450.625,639.282,14.051631055988958,5.174810028842563,0.6676182876878015,1
